Chance of Admit,GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research
HIGH,336,118,5,4.5,5,9.53,1
MED,316,109,3,3.5,3,8.76,0
MED,307,107,2,3,3.5,8.52,1
MED,306,105,2,3,2.5,8.26,0
MED,310,106,2,3.5,2.5,8.33,0
MED,311,104,3,4.5,4.5,8.43,0
MED,313,107,3,4,4.5,8.69,0
MED,317,103,3,2.5,3,8.54,1
MED,315,110,2,3.5,3,8.46,1
HIGH,340,120,5,4.5,4.5,9.91,1
HIGH,334,120,5,4,5,9.87,1
MED,298,105,3,3.5,4,8.54,0
LOW,295,99,2,2.5,3,7.65,0
LOW,315,99,2,3.5,3,7.89,0
LOW,310,102,3,3.5,4,8.02,1
LOW,305,106,2,3,3,8.16,0
MED,301,104,3,3.5,4,8.12,1
HIGH,325,108,4,4.5,4,9.06,1
HIGH,328,110,4,5,4,9.14,1
HIGH,338,120,4,5,5,9.66,1
HIGH,333,119,5,5,4.5,9.78,1
HIGH,331,117,4,4.5,5,9.42,1
HIGH,330,116,5,5,4.5,9.36,1
HIGH,322,112,4,4.5,4.5,9.26,1
HIGH,321,109,4,4,4,9.13,1
HIGH,324,110,4,3,3.5,8.97,1
MED,312,104,3,3.5,3.5,8.42,0
MED,313,103,3,4,4,8.75,0
MED,316,110,3,3.5,4,8.56,0
MED,324,113,4,4.5,4,8.79,0
MED,308,109,2,3,4,8.45,0
MED,305,105,2,3,2,8.23,0
LOW,296,99,2,2.5,2.5,8.03,0
LOW,306,110,2,3.5,4,8.45,0
LOW,312,110,2,3.5,3,8.53,0
MED,318,112,3,4,3.5,8.67,0
HIGH,324,111,4,3,3,9.01,1
MED,313,104,3,4,4.5,8.65,0
MED,319,106,3,3.5,2.5,8.33,1
MED,312,107,2,2.5,3.5,8.27,0
LOW,304,100,2,2.5,3.5,8.07,0
HIGH,330,113,5,5,4,9.31,1
HIGH,326,111,5,4.5,4,9.23,1
HIGH,325,112,4,4,4.5,9.17,1
HIGH,329,114,5,4.5,5,9.19,1
MED,310,104,3,2,3.5,8.37,0
LOW,299,100,1,1.5,2,7.89,0
LOW,296,101,1,2.5,3,7.68,0
LOW,317,103,2,2.5,2,8.15,0
MED,324,115,3,3.5,3,8.76,1
MED,325,114,3,3.5,3,9.04,1
LOW,314,107,2,2.5,4,8.56,0
HIGH,328,110,4,4,2.5,9.02,1
MED,316,105,3,3,3.5,8.73,0
MED,311,104,2,2.5,3.5,8.48,0
HIGH,324,110,3,3.5,4,8.87,1
MED,321,111,3,3.5,4,8.83,1
MED,320,104,3,3,2.5,8.57,1
MED,316,99,2,2.5,3,9,0
MED,318,100,2,2.5,3.5,8.54,1
HIGH,335,115,4,4.5,4.5,9.68,1
HIGH,321,114,4,4,5,9.12,0
HIGH,307,110,4,4,4.5,8.37,0
MED,309,99,3,4,4,8.56,0
MED,324,100,3,4,5,8.64,1
MED,326,102,4,5,5,8.76,1
HIGH,331,119,4,5,4.5,9.34,1
HIGH,327,108,5,5,3.5,9.13,1
MED,312,104,3,3.5,4,8.09,0
MED,308,103,2,2.5,4,8.36,1
MED,324,111,3,2.5,1.5,8.79,1
MED,325,110,2,3,2.5,8.76,1
MED,313,102,3,2.5,2.5,8.68,0
MED,312,105,2,2,2.5,8.45,0
MED,314,107,3,3,3.5,8.17,1
HIGH,327,113,4,4.5,5,9.14,0
MED,308,108,4,4.5,5,8.34,0
MED,306,105,2,2.5,3,8.22,1
LOW,299,96,2,1.5,2,7.86,0
LOW,294,95,1,1.5,1.5,7.64,0
LOW,312,99,1,1,1.5,8.01,1
LOW,315,100,1,2,2.5,7.95,0
MED,322,110,3,3.5,3,8.96,1
HIGH,329,113,5,5,4.5,9.45,1
MED,320,101,2,2.5,3,8.62,0
LOW,308,103,2,3,3.5,8.49,0
MED,304,102,2,3,4,8.73,0
MED,311,102,3,4.5,4,8.64,1
HIGH,317,110,3,4,4.5,9.11,1
HIGH,312,106,3,4,3.5,8.79,1
HIGH,321,111,3,2.5,3,8.9,1
HIGH,340,112,4,5,4.5,9.66,1
HIGH,331,116,5,4,4,9.26,1
HIGH,336,118,5,4.5,4,9.19,1
HIGH,324,114,5,5,4.5,9.08,1
HIGH,314,104,4,5,5,9.02,0
HIGH,313,109,3,4,3.5,9,0
LOW,307,105,2,2.5,3,7.65,0
LOW,300,102,2,1.5,2,7.87,0
LOW,302,99,2,1,2,7.97,0
LOW,312,98,1,3.5,3,8.18,1
LOW,316,101,2,2.5,2,8.32,1
MED,317,100,2,3,2.5,8.57,0
MED,310,107,3,3.5,3.5,8.67,0
HIGH,320,120,3,4,4.5,9.11,0
HIGH,330,114,3,4.5,4.5,9.24,1
MED,305,112,3,3,3.5,8.65,0
LOW,309,106,2,2.5,2.5,8,0
LOW,319,108,2,2.5,3,8.76,0
LOW,322,105,2,3,3,8.45,1
MED,323,107,3,3.5,3.5,8.55,1
LOW,313,106,2,2.5,2,8.43,0
MED,321,109,3,3.5,3.5,8.8,1
HIGH,323,110,3,4,3.5,9.1,1
HIGH,325,112,4,4,4,9,1
MED,312,108,3,3.5,3,8.53,0
MED,308,110,4,3.5,3,8.6,0
MED,320,104,3,3,3.5,8.74,1
HIGH,328,108,4,4.5,4,9.18,1
MED,311,107,4,4.5,4.5,9,1
MED,301,100,3,3.5,3,8.04,0
LOW,305,105,2,3,4,8.13,0
LOW,308,104,2,2.5,3,8.07,0
LOW,298,101,2,1.5,2,7.86,0
LOW,300,99,1,1,2.5,8.01,0
HIGH,324,111,3,2.5,2,8.8,1
HIGH,327,113,4,3.5,3,8.69,1
MED,317,106,3,4,3.5,8.5,1
MED,323,104,3,4,4,8.44,1
